event_id,timestamp,session_id,ordem_na_sessao,pagina_entrada,anonymous_id,usuario_id,identificado,empresa,cnpj_hash,perfil_real,area,pagina,oportunidade_id,categoria,modalidade,enviou_proposta,utm_source,utm_medium,utm_campaign,device,uf,porte_empresa
EV0000030,2026-06-17 11:07:20,anon_fa6f18c108-S001,3,0,anon_fa6f18c108,,0,,,explorador_sem_conversao,publica,detalhe_oportunidade_publica,OP-2026-0083,bombas_compressores,dispensa_eletronica,0,(direct),(none),,desktop,ES,Pequeno
EV0000031,2026-06-17 11:14:00,anon_fa6f18c108-S001,4,0,anon_fa6f18c108,,0,,,explorador_sem_conversao,publica,tenho_interesse,OP-2026-0083,bombas_compressores,dispensa_eletronica,0,(direct),(none),,desktop,ES,Pequeno
EV0000032,2026-06-17 11:14:29,anon_fa6f18c108-S001,5,0,anon_fa6f18c108,U0068,1,Fornecedor 0068 LTDA,d327bc9fab87e1e1,explorador_sem_conversao,publica,login,,,,0,(direct),(none),,desktop,ES,Pequeno
EV0000033,2026-06-17 11:15:22,anon_fa6f18c108-S001,6,0,anon_fa6f18c108,U0068,1,Fornecedor 0068 LTDA,d327bc9fab87e1e1,explorador_sem_conversao,interna,meus_dados,,,,0,(direct),(none),,desktop,ES,Pequeno
EV0000034,2026-06-17 11:15:50,anon_719b69554d-S001,1,1,anon_719b69554d,,0,,,bloqueado_taxa_acesso,publica,home_publica,,,,0,(direct),(none),,desktop,AM,MEI
EV0000035,2026-06-17 11:25:43,anon_18a0d4de3d-S002,1,1,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,busca_publica,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000036,2026-06-17 11:27:42,anon_18a0d4de3d-S002,2,0,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,detalhe_oportunidade_publica,OP-2026-0022,servicos_engenharia,pregao_eletronico,0,(direct),(none),,desktop,RJ,Medio
EV0000037,2026-06-17 11:29:35,anon_18a0d4de3d-S002,3,0,anon_18a0d4de3d,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,RJ,Medio
EV0000038,2026-06-17 11:47:51,anon_cb530a37df-S001,1,1,anon_cb530a37df,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,PR,Medio
EV0000039,2026-06-17 11:50:21,anon_cb530a37df-S001,2,0,anon_cb530a37df,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,PR,Medio
EV0000040,2026-06-17 12:06:29,anon_6cc7468f59-S001,1,1,anon_6cc7468f59,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,SC,Grande
EV0000041,2026-06-17 12:07:09,anon_6cc7468f59-S001,2,0,anon_6cc7468f59,,0,,,explorador_sem_conversao,publica,detalhe_oportunidade_publica,OP-2026-0029,epi_seguranca,concorrencia,0,(direct),(none),,desktop,SC,Grande
EV0000042,2026-06-17 12:11:19,anon_6cc7468f59-S001,3,0,anon_6cc7468f59,,0,,,explorador_sem_conversao,publica,tenho_interesse,OP-2026-0029,epi_seguranca,concorrencia,0,(direct),(none),,desktop,SC,Grande
EV0000043,2026-06-17 12:14:15,anon_6cc7468f59-S001,4,0,anon_6cc7468f59,U0007,1,Fornecedor 0007 LTDA,81b9995b6ef4c46d,explorador_sem_conversao,publica,login,,,,0,(direct),(none),,desktop,SC,Grande
EV0000044,2026-06-17 12:14:51,anon_6cc7468f59-S001,5,0,anon_6cc7468f59,U0007,1,Fornecedor 0007 LTDA,81b9995b6ef4c46d,explorador_sem_conversao,interna,meus_dados,,,,0,(direct),(none),,desktop,SC,Grande
EV0000045,2026-06-17 12:53:53,anon_10b5a47200-S001,1,1,anon_10b5a47200,,0,,,anonimo_recorrente,publica,home_publica,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000046,2026-06-17 12:55:32,anon_10b5a47200-S001,2,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,avisos,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000047,2026-06-17 12:57:36,anon_7279eb4168-S001,1,1,anon_7279eb4168,,0,,,inativo_em_risco,publica,home_publica,,,,0,(direct),(none),,mobile,AM,Pequeno
EV0000048,2026-06-17 13:18:48,anon_85c693da11-S001,1,1,anon_85c693da11,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,(direct),(none),,desktop,SE,Grande
EV0000049,2026-06-17 13:19:50,anon_85c693da11-S001,2,0,anon_85c693da11,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,SE,Grande
EV0000050,2026-06-17 13:22:39,anon_85c693da11-S001,3,0,anon_85c693da11,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,(direct),(none),,desktop,SE,Grande
EV0000051,2026-06-17 13:23:04,anon_85c693da11-S001,4,0,anon_85c693da11,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,SE,Grande
EV0000052,2026-06-17 13:24:41,anon_85c693da11-S001,5,0,anon_85c693da11,,0,,,explorador_sem_conversao,publica,modelo_cobranca_socio,,,,0,(direct),(none),,desktop,SE,Grande
EV0000053,2026-06-17 14:29:46,anon_3a176132ed-S001,1,1,anon_3a176132ed,,0,,,ativo_convertendo,publica,lista_oportunidades_publicas,,,,0,google,organic,,mobile,SE,MEI
EV0000054,2026-06-17 14:33:25,anon_ea4970ed9a-S001,1,1,anon_ea4970ed9a,,0,,,anonimo_recorrente,publica,home_publica,,,,0,(direct),(none),,desktop,SC,
EV0000055,2026-06-17 14:35:55,anon_ea4970ed9a-S001,2,0,anon_ea4970ed9a,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,SC,
EV0000056,2026-06-17 14:38:03,anon_ea4970ed9a-S001,3,0,anon_ea4970ed9a,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0029,epi_seguranca,concorrencia,0,(direct),(none),,desktop,SC,
EV0000057,2026-06-17 15:01:18,anon_818b48f496-S002,1,1,anon_818b48f496,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,RJ,
EV0000058,2026-06-17 15:01:45,anon_818b48f496-S002,2,0,anon_818b48f496,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0047,valvulas,concorrencia,0,(direct),(none),,desktop,RJ,
EV0000059,2026-06-17 15:08:32,anon_51f8ede0ca-S001,1,1,anon_51f8ede0ca,,0,,,anonimo_recorrente,publica,busca_publica,,,,0,(direct),(none),,desktop,PE,
EV0000060,2026-06-17 15:10:53,anon_51f8ede0ca-S001,2,0,anon_51f8ede0ca,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,PE,
EV0000061,2026-06-17 15:13:23,anon_51f8ede0ca-S001,3,0,anon_51f8ede0ca,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0008,epi_seguranca,pregao_eletronico,0,(direct),(none),,desktop,PE,
EV0000062,2026-06-17 15:16:03,anon_51f8ede0ca-S001,4,0,anon_51f8ede0ca,,0,,,anonimo_recorrente,publica,tenho_interesse,OP-2026-0008,epi_seguranca,pregao_eletronico,0,(direct),(none),,desktop,PE,
EV0000063,2026-06-17 15:17:02,anon_51f8ede0ca-S001,5,0,anon_51f8ede0ca,,1,,,anonimo_recorrente,publica,iniciar_identificacao,,,,0,(direct),(none),,desktop,PE,
EV0000064,2026-06-17 15:19:22,anon_51f8ede0ca-S001,6,0,anon_51f8ede0ca,,1,,,anonimo_recorrente,interna,cadastro_fornecedor,,,,0,(direct),(none),,desktop,PE,
EV0000065,2026-06-17 15:28:35,anon_affb1e143b-S001,1,1,anon_affb1e143b,,0,,,explorador_sem_conversao,publica,home_publica,,,,0,google,organic,,desktop,MG,Medio
EV0000066,2026-06-17 15:28:55,anon_991497d658-S001,1,1,anon_991497d658,,0,,,inativo_em_risco,publica,home_publica,,,,0,google,organic,,desktop,SC,Medio
EV0000067,2026-06-17 15:30:27,anon_991497d658-S001,2,0,anon_991497d658,,0,,,inativo_em_risco,publica,busca_publica,,,,0,google,organic,,desktop,SC,Medio
EV0000068,2026-06-17 15:31:23,anon_991497d658-S001,3,0,anon_991497d658,,0,,,inativo_em_risco,publica,lista_oportunidades_publicas,,,,0,google,organic,,desktop,SC,Medio
EV0000069,2026-06-17 15:31:26,anon_affb1e143b-S001,2,0,anon_affb1e143b,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,google,organic,,desktop,MG,Medio
EV0000070,2026-06-17 15:31:46,anon_affb1e143b-S001,3,0,anon_affb1e143b,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,google,organic,,desktop,MG,Medio
EV0000071,2026-06-17 15:32:46,anon_991497d658-S001,4,0,anon_991497d658,,0,,,inativo_em_risco,publica,detalhe_oportunidade_publica,OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,SC,Medio
EV0000072,2026-06-17 15:34:14,anon_affb1e143b-S001,4,0,anon_affb1e143b,,0,,,explorador_sem_conversao,publica,detalhe_oportunidade_publica,OP-2026-0025,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,MG,Medio
EV0000073,2026-06-17 15:37:29,anon_991497d658-S001,5,0,anon_991497d658,,0,,,inativo_em_risco,publica,tenho_interesse,OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,SC,Medio
EV0000074,2026-06-17 15:39:19,anon_991497d658-S001,6,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,publica,login,,,,0,google,organic,,desktop,SC,Medio
EV0000075,2026-06-17 15:41:32,anon_991497d658-S001,7,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,interna,painel_oportunidades,,,,0,google,organic,,desktop,SC,Medio
EV0000076,2026-06-17 15:42:00,anon_991497d658-S001,8,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,interna,detalhe_oportunidade,OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,SC,Medio
EV0000077,2026-06-17 15:47:40,anon_49f7e8f8e5-S001,1,1,anon_49f7e8f8e5,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,RN,Pequeno
EV0000078,2026-06-17 15:48:27,anon_991497d658-S001,9,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,interna,envio_proposta,OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,SC,Medio
EV0000079,2026-06-17 15:49:06,anon_e763b4c08b-S001,1,1,anon_e763b4c08b,,0,,,ativo_convertendo,publica,home_publica,,,,0,(direct),(none),,desktop,MG,Grande
EV0000080,2026-06-17 15:49:59,anon_49f7e8f8e5-S001,2,0,anon_49f7e8f8e5,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,RN,Pequeno
EV0000081,2026-06-17 15:52:21,anon_991497d658-S001,10,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,interna,minhas_participacoes,,,,0,google,organic,,desktop,SC,Medio
EV0000082,2026-06-17 15:54:14,anon_991497d658-S001,11,0,anon_991497d658,U0048,1,Fornecedor 0048 LTDA,0705cd32e9823c29,inativo_em_risco,interna,sala_colaboracao,OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,google,organic,,desktop,SC,Medio
EV0000083,2026-06-17 15:55:33,anon_10b5a47200-S002,1,1,anon_10b5a47200,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000084,2026-06-17 15:56:07,anon_10b5a47200-S002,2,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,busca_publica,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000085,2026-06-17 15:57:04,anon_10b5a47200-S002,3,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000086,2026-06-17 15:58:21,anon_10b5a47200-S002,4,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0083,bombas_compressores,dispensa_eletronica,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000087,2026-06-17 16:00:59,anon_10b5a47200-S002,5,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000088,2026-06-17 16:03:42,anon_10b5a47200-S002,6,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0083,bombas_compressores,dispensa_eletronica,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000089,2026-06-17 16:05:21,anon_10b5a47200-S002,7,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000090,2026-06-17 16:06:47,anon_10b5a47200-S002,8,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000091,2026-06-17 16:09:50,anon_10b5a47200-S002,9,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,busca_publica,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000092,2026-06-17 16:12:10,anon_10b5a47200-S002,10,0,anon_10b5a47200,,0,,,anonimo_recorrente,publica,busca_publica,,,,0,petronect_crm,email,reengajamento_2026q3,desktop,SC,
EV0000093,2026-06-17 19:33:51,anon_c8ba2c98ce-S001,1,1,anon_c8ba2c98ce,,0,,,ativo_convertendo,publica,home_publica,,,,0,(direct),(none),,tablet,RJ,MEI
EV0000094,2026-06-17 19:35:23,anon_c8ba2c98ce-S001,2,0,anon_c8ba2c98ce,,0,,,ativo_convertendo,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,tablet,RJ,MEI
EV0000095,2026-06-17 20:27:55,anon_ee7f95897c-S001,1,1,anon_ee7f95897c,,0,,,bloqueado_taxa_acesso,publica,home_publica,,,,0,google,organic,,mobile,SE,Grande
EV0000096,2026-06-17 20:28:17,anon_ee7f95897c-S001,2,0,anon_ee7f95897c,,0,,,bloqueado_taxa_acesso,publica,lista_oportunidades_publicas,,,,0,google,organic,,mobile,SE,Grande
EV0000097,2026-06-17 20:30:00,anon_ee7f95897c-S001,3,0,anon_ee7f95897c,,0,,,bloqueado_taxa_acesso,publica,busca_publica,,,,0,google,organic,,mobile,SE,Grande
EV0000098,2026-06-17 20:31:16,anon_ee7f95897c-S001,4,0,anon_ee7f95897c,,0,,,bloqueado_taxa_acesso,publica,detalhe_oportunidade_publica,OP-2026-0009,servicos_engenharia,pregao_eletronico,0,google,organic,,mobile,SE,Grande
EV0000099,2026-06-17 20:34:05,anon_ee7f95897c-S001,5,0,anon_ee7f95897c,,0,,,bloqueado_taxa_acesso,publica,tenho_interesse,OP-2026-0009,servicos_engenharia,pregao_eletronico,0,google,organic,,mobile,SE,Grande
EV0000100,2026-06-17 20:35:54,anon_ee7f95897c-S001,6,0,anon_ee7f95897c,U0058,1,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,publica,login,,,,0,google,organic,,mobile,SE,Grande
EV0000101,2026-06-17 20:37:52,anon_ee7f95897c-S001,7,0,anon_ee7f95897c,U0058,1,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,interna,painel_oportunidades,,,,0,google,organic,,mobile,SE,Grande
EV0000102,2026-06-17 20:38:40,anon_ee7f95897c-S001,8,0,anon_ee7f95897c,U0058,1,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,interna,painel_oportunidades,,,,0,google,organic,,mobile,SE,Grande
EV0000103,2026-06-17 20:39:42,anon_ee7f95897c-S001,9,0,anon_ee7f95897c,U0058,1,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,interna,painel_oportunidades,,,,0,google,organic,,mobile,SE,Grande
EV0000104,2026-06-17 20:41:23,anon_ee7f95897c-S001,10,0,anon_ee7f95897c,U0058,1,Fornecedor 0058 LTDA,0100352397625354,bloqueado_taxa_acesso,interna,cadastro_fornecedor,,,,0,google,organic,,mobile,SE,Grande
EV0000105,2026-06-17 21:31:00,anon_30de9e3757-S001,1,1,anon_30de9e3757,,0,,,explorador_sem_conversao,publica,busca_publica,,,,0,google,organic,,desktop,RS,Grande
EV0000106,2026-06-17 21:32:54,anon_30de9e3757-S001,2,0,anon_30de9e3757,,0,,,explorador_sem_conversao,publica,lista_oportunidades_publicas,,,,0,google,organic,,desktop,RS,Grande
EV0000107,2026-06-18 07:36:33,anon_99fc04a168-S001,1,1,anon_99fc04a168,,0,,,ativo_convertendo,publica,quer_se_cadastrar,,,,0,google,organic,,mobile,RS,Medio
EV0000108,2026-06-18 07:38:15,anon_99fc04a168-S001,2,0,anon_99fc04a168,U0111,1,Fornecedor 0111 LTDA,f91f581a422a5e7d,ativo_convertendo,publica,iniciar_identificacao,,,,0,google,organic,,mobile,RS,Medio
EV0000109,2026-06-18 07:41:10,anon_99fc04a168-S001,3,0,anon_99fc04a168,U0111,1,Fornecedor 0111 LTDA,f91f581a422a5e7d,ativo_convertendo,interna,cadastro_fornecedor,,,,0,google,organic,,mobile,RS,Medio
EV0000110,2026-06-18 07:44:14,anon_f56efb63b1-S001,1,1,anon_f56efb63b1,,0,,,bloqueado_taxa_acesso,publica,lista_oportunidades_publicas,,,,0,google,organic,,desktop,BA,Grande
EV0000111,2026-06-18 07:45:08,anon_caf4488385-S001,1,1,anon_caf4488385,,0,,,anonimo_recorrente,publica,lista_oportunidades_publicas,,,,0,(direct),(none),,desktop,PE,
EV0000112,2026-06-18 07:46:03,anon_f56efb63b1-S001,2,0,anon_f56efb63b1,,0,,,bloqueado_taxa_acesso,publica,detalhe_oportunidade_publica,OP-2026-0054,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,BA,Grande
EV0000113,2026-06-18 07:46:59,anon_99fc04a168-S001,4,0,anon_99fc04a168,U0111,1,Fornecedor 0111 LTDA,f91f581a422a5e7d,ativo_convertendo,interna,cadastro_fornecedor,,,,0,google,organic,,mobile,RS,Medio
EV0000114,2026-06-18 07:48:05,anon_b3cb08587d-S001,1,1,anon_b3cb08587d,,0,,,inativo_em_risco,publica,quer_se_cadastrar,,,,0,google,organic,,mobile,MG,Grande
EV0000115,2026-06-18 07:48:06,anon_caf4488385-S001,2,0,anon_caf4488385,,0,,,anonimo_recorrente,publica,detalhe_oportunidade_publica,OP-2026-0016,servicos_manutencao,concorrencia,0,(direct),(none),,desktop,PE,
EV0000116,2026-06-18 07:48:22,anon_f56efb63b1-S001,3,0,anon_f56efb63b1,,0,,,bloqueado_taxa_acesso,publica,tenho_interesse,OP-2026-0054,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,BA,Grande
EV0000117,2026-06-18 07:48:38,anon_f56efb63b1-S001,4,0,anon_f56efb63b1,U0026,1,Fornecedor 0026 LTDA,923447f0ddd206d7,bloqueado_taxa_acesso,publica,login,,,,0,google,organic,,desktop,BA,Grande
EV0000118,2026-06-18 07:49:11,anon_f56efb63b1-S001,5,0,anon_f56efb63b1,U0026,1,Fornecedor 0026 LTDA,923447f0ddd206d7,bloqueado_taxa_acesso,interna,painel_oportunidades,,,,0,google,organic,,desktop,BA,Grande
EV0000119,2026-06-18 07:51:48,anon_f56efb63b1-S001,6,0,anon_f56efb63b1,U0026,1,Fornecedor 0026 LTDA,923447f0ddd206d7,bloqueado_taxa_acesso,interna,detalhe_oportunidade,OP-2026-0054,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,BA,Grande
EV0000120,2026-06-18 07:54:27,anon_f56efb63b1-S001,7,0,anon_f56efb63b1,U0026,1,Fornecedor 0026 LTDA,923447f0ddd206d7,bloqueado_taxa_acesso,interna,taxa_acesso_bloqueio,OP-2026-0054,epi_seguranca,pregao_eletronico,0,google,organic,,desktop,BA,Grande
