usuario_id,empresa,cnpj_hash,perfil_real,data_cadastro,socio_fornecedor,categorias_interesse,uf,porte_empresa,anonymous_ids_conhecidos
U0073,Fornecedor 0073 LTDA,2f9d393bde7b7eb1,explorador_sem_conversao,2024-02-23,1,epi_seguranca|servicos_engenharia,SE,Grande,anon_96fcd6bdca
U0074,Fornecedor 0074 LTDA,e0a79c4e596a4d66,bloqueado_taxa_acesso,2023-01-25,0,bombas_compressores|logistica_transporte,MG,Medio,anon_62ffd6f232
U0075,Fornecedor 0075 LTDA,5b2b53f8189323b2,novo_cadastro,2026-09-03,0,epi_seguranca|tubulacao_conexoes|valvulas,RN,MEI,anon_d4fa5a91ca
U0076,Fornecedor 0076 LTDA,ab3144e4c655fa92,bloqueado_taxa_acesso,2023-07-27,0,eletrica_instrumentacao|servicos_manutencao,PR,Pequeno,anon_7fbec39a37
U0077,Fornecedor 0077 LTDA,978bb1828654dfd1,inativo_em_risco,2025-05-14,1,valvulas|tubulacao_conexoes|eletrica_instrumentacao,RJ,Medio,anon_18a0d4de3d
U0078,Fornecedor 0078 LTDA,9e82d8706e2b394a,inativo_em_risco,2023-04-28,1,tubulacao_conexoes|bombas_compressores,BA,Medio,anon_bf53a3dd5a
U0079,Fornecedor 0079 LTDA,65e24dc6a4384eea,explorador_sem_conversao,2021-02-15,1,logistica_transporte|epi_seguranca,SE,Medio,anon_2ad499da99
U0080,Fornecedor 0080 LTDA,18bf4593fe300f49,inativo_em_risco,2021-12-14,1,epi_seguranca,AM,Medio,anon_c12408a6dc
U0081,Fornecedor 0081 LTDA,844f79033bc0ab82,esporadico,2022-03-19,1,bombas_compressores|eletrica_instrumentacao|tubulacao_conexoes,PE,Medio,anon_4303902c5d
U0082,Fornecedor 0082 LTDA,a778ac94fdfde317,explorador_sem_conversao,2023-11-24,1,logistica_transporte,RJ,Medio,anon_ac1bbc91f7
U0083,Fornecedor 0083 LTDA,9b56c24f69a848e0,inativo_em_risco,2025-12-17,1,servicos_manutencao|servicos_engenharia,MG,MEI,anon_d2a2a9d4d8
U0084,Fornecedor 0084 LTDA,c23281948c151fc8,ativo_convertendo,2022-03-21,1,bombas_compressores|valvulas,RS,Pequeno,anon_fe4dead645
U0085,Fornecedor 0085 LTDA,a588b1636d18af7a,inativo_em_risco,2023-03-30,1,tubulacao_conexoes|eletrica_instrumentacao|servicos_engenharia,SP,Grande,anon_966b4be411
U0086,Fornecedor 0086 LTDA,4f2a19aab03baf14,explorador_sem_conversao,2025-04-07,1,eletrica_instrumentacao|logistica_transporte,ES,Pequeno,anon_b008601833
U0087,Fornecedor 0087 LTDA,a3bf70890eef89ae,explorador_sem_conversao,2025-01-03,1,servicos_engenharia|valvulas,MG,Medio,anon_affb1e143b|anon_ade2dd8660
U0088,Fornecedor 0088 LTDA,ce97e7bb62bfeaec,explorador_sem_conversao,2022-08-21,1,bombas_compressores|servicos_engenharia,RS,MEI,anon_d9f2f25eef|anon_388d39db39
U0089,Fornecedor 0089 LTDA,523790a8b36d002f,novo_cadastro,2026-09-08,0,eletrica_instrumentacao|valvulas|servicos_manutencao,RS,Pequeno,anon_20fd235def
U0090,Fornecedor 0090 LTDA,e5d16982ef29805c,esporadico,2023-07-27,1,valvulas,SE,Pequeno,anon_543ba5cd2f
U0091,Fornecedor 0091 LTDA,2cdb797e2f44c441,bloqueado_taxa_acesso,2023-09-17,0,valvulas,BA,MEI,anon_2ccc6b66e5
U0092,Fornecedor 0092 LTDA,6ce501cb13bd2ac3,novo_cadastro,2026-09-08,0,valvulas|bombas_compressores,SC,Grande,anon_2c040a3aae
U0093,Fornecedor 0093 LTDA,ee2405e5b0d671c5,inativo_em_risco,2025-11-22,1,bombas_compressores|eletrica_instrumentacao,AM,Pequeno,anon_7279eb4168
U0094,Fornecedor 0094 LTDA,a5f20ccdd872ac16,ativo_convertendo,2021-11-15,1,servicos_manutencao|eletrica_instrumentacao|servicos_engenharia,RJ,MEI,anon_c8ba2c98ce
U0095,Fornecedor 0095 LTDA,12e5d4fb0ca643cd,inativo_em_risco,2025-08-22,1,logistica_transporte|valvulas,SP,Medio,anon_1bafa415e5
U0096,Fornecedor 0096 LTDA,12bf210580c90928,explorador_sem_conversao,2021-07-21,1,servicos_engenharia|eletrica_instrumentacao|servicos_manutencao,AM,Medio,anon_46204e178c
U0097,Fornecedor 0097 LTDA,0dcd945ac9c273fd,inativo_em_risco,2021-09-27,1,eletrica_instrumentacao,MG,Grande,anon_b3cb08587d
U0098,Fornecedor 0098 LTDA,f3bf71972ebfe523,explorador_sem_conversao,2022-11-15,1,epi_seguranca|eletrica_instrumentacao,SC,MEI,anon_d356c438e4
U0099,Fornecedor 0099 LTDA,f8cc3c515e323210,explorador_sem_conversao,2025-06-03,1,tubulacao_conexoes|servicos_engenharia,ES,MEI,anon_41aa448259
U0100,Fornecedor 0100 LTDA,a2a3c84d7b174a17,inativo_em_risco,2022-09-06,1,servicos_engenharia|epi_seguranca|bombas_compressores,AM,MEI,anon_186e8f75a1
U0101,Fornecedor 0101 LTDA,77b3a8d04768d061,bloqueado_taxa_acesso,2025-10-20,0,servicos_engenharia|epi_seguranca,PE,Grande,anon_1fab85fd59
U0102,Fornecedor 0102 LTDA,155231e7d042ec11,explorador_sem_conversao,2020-12-20,1,servicos_manutencao|tubulacao_conexoes|valvulas,RN,Pequeno,anon_49f7e8f8e5
U0103,Fornecedor 0103 LTDA,ac7beccd04fe31ca,ativo_convertendo,2023-04-03,1,servicos_engenharia,AM,Medio,anon_d839681c81|anon_8457767681
U0104,Fornecedor 0104 LTDA,ce533c0a53fa8919,ativo_convertendo,2023-04-25,1,valvulas|servicos_manutencao,PE,Medio,anon_3992f837d4
U0105,Fornecedor 0105 LTDA,4d0c6b1e57df855c,bloqueado_taxa_acesso,2021-11-19,0,servicos_engenharia|tubulacao_conexoes,RJ,Pequeno,anon_c3b3e4110a|anon_b6b7c39b3f
U0106,Fornecedor 0106 LTDA,f81fd601170383c9,explorador_sem_conversao,2021-04-16,1,valvulas|logistica_transporte|servicos_engenharia,AM,Pequeno,anon_2411d059b2
U0107,Fornecedor 0107 LTDA,5e5e2c7801e9c3f5,esporadico,2024-08-19,1,servicos_manutencao|servicos_engenharia,PR,MEI,anon_285744f596
U0108,Fornecedor 0108 LTDA,3e4b42319fdec056,esporadico,2020-12-06,1,valvulas|servicos_engenharia|logistica_transporte,SE,Grande,anon_c1284c03d2
U0109,Fornecedor 0109 LTDA,1a77a780a84859e6,bloqueado_taxa_acesso,2025-02-18,0,servicos_manutencao|bombas_compressores,AM,MEI,anon_719b69554d
U0111,Fornecedor 0111 LTDA,f91f581a422a5e7d,ativo_convertendo,2024-11-02,1,valvulas,RS,Medio,anon_99fc04a168
U0112,Fornecedor 0112 LTDA,2122cbee9fa72439,esporadico,2024-05-29,1,servicos_engenharia|valvulas,RJ,Grande,anon_41c3a00c6f
U0113,Fornecedor 0113 LTDA,c74336a699cdf2de,explorador_sem_conversao,2025-11-26,1,eletrica_instrumentacao|servicos_manutencao|epi_seguranca,PE,Medio,anon_612112507c
U0114,Fornecedor 0114 LTDA,e6de5075b268cc1f,inativo_em_risco,2021-09-11,1,servicos_engenharia,RN,Grande,anon_7504cc3ede
U0116,Fornecedor 0116 LTDA,82037a29da7ee502,ativo_convertendo,2021-11-20,1,epi_seguranca,SP,Pequeno,anon_5ceb7607c9
U0117,Fornecedor 0117 LTDA,057daca49ad2cd97,ativo_convertendo,2024-06-29,1,servicos_manutencao|servicos_engenharia,PR,Pequeno,anon_14862268d1
U0118,Fornecedor 0118 LTDA,ea205789228184f2,ativo_convertendo,2024-09-21,1,bombas_compressores|servicos_manutencao|epi_seguranca,RS,Medio,anon_82138d994c
U0119,Fornecedor 0119 LTDA,ff434dde38003154,esporadico,2025-07-14,1,servicos_manutencao,RS,Pequeno,anon_1a3c7c1d85
U0120,Fornecedor 0120 LTDA,a7240bb57341d84d,bloqueado_taxa_acesso,2022-10-03,0,logistica_transporte|eletrica_instrumentacao|servicos_manutencao,RN,Grande,anon_f32d5972c6
