oportunidade_id,categoria,modalidade,exige_socio_fornecedor,data_publicacao,data_fim
OP-2026-0031,valvulas,dispensa_eletronica,0,2026-08-06,2026-09-05
OP-2026-0032,servicos_manutencao,dispensa_eletronica,0,2026-06-11,2026-07-06
OP-2026-0033,servicos_manutencao,pregao_eletronico,1,2026-07-10,2026-07-17
OP-2026-0034,servicos_manutencao,dispensa_eletronica,0,2026-07-25,2026-08-01
OP-2026-0035,bombas_compressores,dispensa_eletronica,0,2026-09-02,2026-09-12
OP-2026-0036,eletrica_instrumentacao,pregao_eletronico,1,2026-07-05,2026-08-04
OP-2026-0037,valvulas,concorrencia,1,2026-09-02,2026-09-12
OP-2026-0038,bombas_compressores,dispensa_eletronica,0,2026-07-29,2026-08-05
OP-2026-0039,eletrica_instrumentacao,pregao_eletronico,1,2026-09-08,2026-09-20
OP-2026-0040,bombas_compressores,dispensa_eletronica,0,2026-08-08,2026-08-15
OP-2026-0041,tubulacao_conexoes,pregao_eletronico,1,2026-09-09,2026-09-16
OP-2026-0042,tubulacao_conexoes,pregao_eletronico,1,2026-07-27,2026-08-16
OP-2026-0043,eletrica_instrumentacao,dispensa_eletronica,0,2026-08-13,2026-08-28
OP-2026-0044,eletrica_instrumentacao,dispensa_eletronica,0,2026-09-01,2026-09-26
OP-2026-0045,servicos_engenharia,pregao_eletronico,1,2026-07-18,2026-08-12
OP-2026-0046,bombas_compressores,pregao_eletronico,1,2026-08-02,2026-08-17
OP-2026-0047,valvulas,concorrencia,1,2026-06-05,2026-06-17
OP-2026-0048,eletrica_instrumentacao,pregao_eletronico,1,2026-06-26,2026-07-16
OP-2026-0049,valvulas,pregao_eletronico,1,2026-08-26,2026-09-20
OP-2026-0050,servicos_engenharia,pregao_eletronico,1,2026-06-01,2026-07-01
OP-2026-0051,logistica_transporte,pregao_eletronico,1,2026-06-27,2026-07-09
OP-2026-0052,logistica_transporte,pregao_eletronico,1,2026-06-13,2026-07-08
OP-2026-0053,epi_seguranca,pregao_eletronico,1,2026-07-27,2026-08-26
OP-2026-0054,epi_seguranca,pregao_eletronico,1,2026-06-09,2026-07-04
OP-2026-0055,valvulas,dispensa_eletronica,0,2026-07-19,2026-08-03
OP-2026-0056,valvulas,pregao_eletronico,1,2026-08-18,2026-08-25
OP-2026-0057,bombas_compressores,pregao_eletronico,1,2026-07-10,2026-08-09
OP-2026-0058,logistica_transporte,pregao_eletronico,1,2026-06-21,2026-07-11
OP-2026-0059,logistica_transporte,pregao_eletronico,1,2026-06-20,2026-07-02
OP-2026-0060,bombas_compressores,pregao_eletronico,1,2026-06-06,2026-06-21
OP-2026-0061,valvulas,dispensa_eletronica,0,2026-08-05,2026-09-04
OP-2026-0062,eletrica_instrumentacao,pregao_eletronico,1,2026-09-01,2026-10-01
OP-2026-0063,eletrica_instrumentacao,dispensa_eletronica,0,2026-07-29,2026-08-13
OP-2026-0064,epi_seguranca,pregao_eletronico,1,2026-06-04,2026-06-14
OP-2026-0065,logistica_transporte,pregao_eletronico,1,2026-07-16,2026-07-28
OP-2026-0066,logistica_transporte,pregao_eletronico,1,2026-08-25,2026-09-19
OP-2026-0067,valvulas,concorrencia,1,2026-07-04,2026-07-14
OP-2026-0068,servicos_engenharia,pregao_eletronico,1,2026-08-05,2026-08-12
OP-2026-0069,tubulacao_conexoes,pregao_eletronico,1,2026-08-10,2026-08-25
OP-2026-0070,tubulacao_conexoes,pregao_eletronico,1,2026-08-01,2026-08-08
OP-2026-0071,eletrica_instrumentacao,pregao_eletronico,1,2026-06-05,2026-06-30
OP-2026-0072,valvulas,concorrencia,1,2026-08-08,2026-08-18
OP-2026-0073,servicos_engenharia,dispensa_eletronica,0,2026-07-20,2026-08-14
OP-2026-0074,servicos_engenharia,pregao_eletronico,1,2026-06-23,2026-07-18
OP-2026-0075,servicos_manutencao,concorrencia,1,2026-07-17,2026-07-27
OP-2026-0076,valvulas,concorrencia,1,2026-09-01,2026-09-08
OP-2026-0077,bombas_compressores,concorrencia,1,2026-08-08,2026-08-15
OP-2026-0078,tubulacao_conexoes,dispensa_eletronica,0,2026-07-31,2026-08-12
OP-2026-0079,servicos_engenharia,pregao_eletronico,1,2026-06-05,2026-06-15
OP-2026-0080,servicos_manutencao,concorrencia,1,2026-07-23,2026-08-22
OP-2026-0081,valvulas,dispensa_eletronica,0,2026-09-08,2026-10-03
OP-2026-0082,bombas_compressores,dispensa_eletronica,0,2026-08-06,2026-08-18
OP-2026-0083,bombas_compressores,dispensa_eletronica,0,2026-06-14,2026-06-26
OP-2026-0084,tubulacao_conexoes,pregao_eletronico,1,2026-08-31,2026-09-20
OP-2026-0085,servicos_engenharia,pregao_eletronico,1,2026-08-13,2026-08-23
OP-2026-0086,servicos_manutencao,concorrencia,1,2026-08-17,2026-09-16
OP-2026-0087,valvulas,pregao_eletronico,1,2026-06-29,2026-07-29
OP-2026-0088,servicos_manutencao,pregao_eletronico,1,2026-07-21,2026-08-20
OP-2026-0089,tubulacao_conexoes,concorrencia,1,2026-07-09,2026-08-08
OP-2026-0090,logistica_transporte,concorrencia,1,2026-06-30,2026-07-10
